transaction_id,card_id,transaction_date,station_country_code,product_type,volume,net_amount_local,vat_amount_local,gross_amount_local,exchange_rate_eur
100194,2045,3/28/2026,LV,DIESEL,137.78,648.96,149.26,798.22,1
100195,2046,3/9/2026,LT,DIESEL,323.52,1692.67,389.31,2081.98,1
100197,2048,1/21/2026,BG,PETROL,335.98,1998.88,459.74,2458.62,0.5
100198,2049,4/6/2026,SI,DIESEL,219.75,898.28,206.6,1104.88,1
100199,2050,4/14/2026,HR,DIESEL,132.8,659.36,151.65,811.01,1
100200,2051,3/22/2026,PL,ADBLUE,162.18,657.38,151.2,808.58,0.224077
100201,2052,4/15/2026,DE,ADBLUE,170.11,884.51,203.44,1087.95,1
100202,2053,4/3/2026,CZ,DIESEL,322.38,1673.84,384.98,2058.82,0.041452
100203,2054,2/15/2026,CH,DIESEL,145.59,686.27,157.84,844.11,1.042309
100204,2055,4/14/2026,SK,DIESEL,356.94,1493.06,343.4,1836.46,1
100205,2056,1/21/2026,HU,PETROL,138.39,819.23,188.42,1007.65,0.002555
100206,2057,3/27/2026,AT,ADBLUE,132.1,727.73,167.38,895.11,1
100207,2058,3/18/2026,FR,DIESEL,233.63,1389.77,319.65,1709.42,1
100208,2059,3/8/2026,BE,PETROL,386.5,1886.57,433.91,2320.48,1
100209,2060,2/12/2026,NL,DIESEL,303.26,1475.81,339.44,1815.25,1
100211,2062,2/28/2026,PT,DIESEL,349.19,1742.38,400.75,2143.13,1
100212,2063,3/8/2026,IT,DIESEL,220.12,1098.97,252.76,1351.73,1
100213,2064,4/5/2026,GR,PETROL,107.37,440.06,101.21,541.27,1
100214,2065,2/18/2026,DK,ADBLUE,398.13,1879.77,432.35,2312.12,0.5
100215,2066,3/2/2026,SE,LPG,91.13,477.83,109.9,587.73,0.5
100216,2067,3/27/2026,NO,ADBLUE,379.35,1979.23,455.22,2434.45,0.5
100217,2068,3/11/2026,FI,PETROL,173.41,822.95,189.28,1012.23,1
100218,2069,3/24/2026,EE,PETROL,314.71,1841.5,423.55,2265.05,1
100219,2070,4/8/2026,LV,DIESEL,96.96,553.14,127.22,680.36,1
100220,2071,1/30/2026,LT,DIESEL,121.4,503.37,115.78,619.15,1
100221,2072,2/18/2026,RO,DIESEL,97.56,580.18,133.44,713.62,0.5
100222,2073,3/17/2026,BG,DIESEL,247.92,1065.19,244.99,1310.18,0.5
100223,2074,2/25/2026,SI,ADBLUE,212.69,1115.12,256.48,1371.60,1
100224,2075,3/12/2026,HR,LPG,266.07,1418.58,326.27,1744.85,1
100225,2076,1/18/2026,PL,ADBLUE,89.71,493.1,113.41,606.51,0.221813
100226,2077,3/19/2026,DE,PETROL,138.33,764.85,175.92,940.77,1
100227,2078,3/30/2026,CZ,DIESEL,210.87,1169.34,268.95,1438.29,0.040849
100228,2079,4/9/2026,CH,DIESEL,394.35,1759.22,404.62,2163.84,1.042813
100229,2080,2/5/2026,SK,DIESEL,398.15,2310.86,531.5,2842.36,1
100231,2082,4/5/2026,AT,LPG,320.2,1852.65,426.11,2278.76,1
100232,2083,2/28/2026,FR,ADBLUE,369.99,1972.82,453.75,2426.57,1
100233,2084,4/6/2026,BE,PETROL,297.39,1519.67,349.52,1869.19,1
100234,2085,3/22/2026,NL,ADBLUE,252.06,1490.64,342.85,1833.49,1
100235,2086,3/17/2026,ES,DIESEL,269.28,1078.98,248.17,1327.15,1
100236,2087,4/9/2026,PT,PETROL,236.86,1262.39,290.35,1552.74,1
100237,2088,2/18/2026,IT,PETROL,55.01,245.07,56.37,301.44,1
100238,2089,2/20/2026,GR,ADBLUE,413.36,1769.44,406.97,2176.41,1
100239,2090,3/28/2026,DK,ADBLUE,346.57,1918.01,441.14,2359.15,0.5
100240,2091,4/6/2026,SE,ADBLUE,230.95,1072.93,246.77,1319.70,0.5
100241,2092,2/24/2026,NO,DIESEL,52.67,307.8,70.79,378.59,0.5
100242,2093,4/7/2026,FI,LPG,395.94,2065.84,475.14,2540.98,1
100243,2094,1/31/2026,EE,PETROL,391.73,1837,422.51,2259.51,1
100244,2095,4/15/2026,LV,DIESEL,285.7,1402.41,322.55,1724.96,1
